Jahr;Originaltitel;Sprache;lemmatisierter Titel
1988;Aspects politiques de la « Réforme » monastique en Lotharingie. Le cas des abbayes de Saint-Maximin de Trèves, de Stavelot-Malmédy et d’Echternach (934-973);Französisch;aspect politique réforme monastique lotharingie cas abbaye saint maximin trève stavelot malmédy echternach
1989;Das Archiv der Herren von Bourscheid im Spiegel der Geschichte Luxemburgs im Mittelalter;Deutsch;archiv herren bourscheid spiegel geschichte luxemburg mittelalter
1989;L’acte « fondateur » de 963: mythe et réalité;Französisch;acte fondateur mythe réalité
1989;La formation d’une principauté territoriale;Französisch;formation principauté territorial
1990;Vom Altmarkt zur Schobermesse. Stadtgeschichtliche Voraussetzungen einer Jahrmarktgründung;Deutsch;altmarkt schobermesse stadtgeschichtlich voraussetzung jahrmarktgründung
1990;« Pour ce que nous desirrons moult le profit... ». Kurze Bemerkungen zum wirtschaftspolitischen Umfeld der Gründung der Schobermess;Deutsch;desirrons moult profit kurze bemerkungen wirtschaftspolitisch umfeld gründung schobermess
1990;Ermesinde;Französisch;ermesinde
1990;Luxemburg vor und nach Worringen. Die Auswirkungen der Schlacht von Worringen auf die Landesorganisation sowie die Territorial- und Reichspolitik der Grafen von Luxemburg;Deutsch;luxemburg worringen auswirkung schlacht worringen landesorganisation territorial reichspolitik graf luxemburg
1991;Aspects du rayonnement intellectuel de Trèves dans la deuxième moitié du Xe siècle;Französisch;aspect rayonnement intellectuel trève deuxième moitié 
1991;Rayonnement urbain et initiative comtale : l’exemple des chefs-lieux du comté de Luxemburg;Französisch;rayonnement urbain initiative comtale exemple chef lieu comté Luxemburg
1993;Adel, Burg und Kloster. Zum Ursprung der Luxemburgischen Burgen am Beispiel der Grundherrschaft Befort;Deutsch;adel burg kloster ursprung luxemburgisch burg beispiel grundherrschaft befort
1993;Zur geistigen Ausstrahlung Triers unter Erzbischof Egbert;Deutsch;geistig ausstrahlung trier erzbischof egbert
1993;Châteaux et peuplement dans le comté de Luxemburg (Xe-XIIIe siècles);Französisch;château peuplement comté Luxemburg 
1993;Kloster, Grafen und Burgherren. Zum Ursprung der luxemburgischen Burgen am Beispiel Zolver;Deutsch;kloster graf burgherr ursprung luxemburgisch burg beispiel zolver
1993;Luxemburg;Deutsch;luxemburg
1993;Luxemburg, Grafen von, Grafschaft, Herzogtum, Luxemburger. I. Entstehung der Grafschaft;Deutsch;luxemburg graf grafschaft herzogtum luxemburger entstehung grafschaft
1993;Politique monastique et pouvoir souverain. Henri V, sire souverain, fondateur de la principauté territoriale Luxemburgeoise ?;Französisch;politique monastique pouvoir souverain henri sire souverain fondateur principauté territorial Luxemburgeoise
1993;Prümer Klosterbesitz und die Grafen von Luxemburg. Bastogne in den Ardennen und Remich an der Mosel;Deutsch;prümer klosterbesitz graf luxemburg bastogne ardennen remich mosel
1993;L’archéologie en milieu urbain au Luxemburg. Bilan critique et directions de recherche;Französisch;archéologie milieu urbain Luxemburg bilan critique direction recherche
1994;Ermesinde. Notice biographique;Französisch;ermesinde notice biographique
1994;„Privilegium libertatis“. Die Freiheitsurkunde der Gräfin Ermesinde für die Stadt Luxemburg. Kommentierte Neuedition;Deutsch;privilegium libertatis freiheitsurkunde gräfin ermesinde stadt luxemburg kommentiert neuedition
1994;Die Siegel der Stadt Luxemburg. Ein Symbol des Verhältnisses zwischen Landesherrn und Stadt;Deutsch;siegel stadt luxemburg symbol verhältnisses landesherrn stadt
1994;« Nostri sigilli auctoritate ». Note sur le sceau de la comtesse Ermesinde;Französisch;nostri sigilli auctoritate note sceau comtesse ermesinde
1994;Ermesinde, comtesse de Luxemburg. Questions nouvelles pour une interprétation de son règne;Französisch;ermesinde comtesse Luxemburg question nouveau interprétation règne
1994;L’archéologie urbaine au Grand-Duché de Luxemburg : des réflexions, un bref bilan;Französisch;archéologie urbaine grand duché Luxemburg réflexion bref bilan
1994;Du château à la ville. Les origines;Französisch;château origine
1994;Aux origines de l’État Luxemburgeois. Le gouvernement de la Comtesse Ermesinde;Französisch;origine état Luxemburgeois gouvernement comtesse ermesinde
1994;Pouvoir princier et peuplement. Aux origines de la ville de Luxemburg;Französisch;pouvoir princier peuplement origine Luxemburg
1994;Sigefroid;Französisch;sigefroid
1995;Ermesinde Gräfin von Luxemburg (1186-1247);Deutsch;ermesinde gräfin luxemburg
1995;Das erste Spital in Luxemburg. Eine unerforschte Quelle zum Wirken Walrams von Monschau-Limburg und zur Geschichte der Stadt Luxemburg;Deutsch;erste spital luxemburg unerforschte wirken walrams monschau limburg geschichte stadt luxemburg
1996;Les racines;Französisch;racine
