Jahr;Originaltitel;Sprache;lemmatisierter Titel
2020;La grande expédition. Il y a 750 ans : Henri V, comte de Luxemburg, la croisade de Louis IX et le tournant français de la politique des Luxemburg in : Luxemburger Wort. Die Warte 56/2656 (2.7.2020);Französisch;grande expédition ans henri comte Luxemburg croisade louis tournant français politique Luxemburg luxemburger wort warte
2021;Prolog;Deutsch;prolog
2021;Auf der Suche nach dem “Hof”. Der reisende “Hof” Heinrichs VII. in Norditalien und sein Bild in der zeitgenössischen Chronistik;Deutsch;suche hof reisend hof heinrich norditalien bild zeitgenössisch chronistik
2021;Vorstellung des Forschungsprojekts “INTERLOR - lotharingie und das Papsttum. Interaktions-, Integrations- und Transformationsprozesse im Spannungsfeld zwischen zentraler Steuerung und regionaler Eigendynamik (11.-Anfang 13. Jahrhundert)”;Deutsch;vorstellung forschungsprojekts interlor lotharingie papsttum interaktions integrations transformationsprozesse spannungsfeld zentral steuerung regional eigendynamik anfang 
2022;Vianden (Veianen);Deutsch;vianden veianen
2022;Les cours dans la « monarchie composite » des Luxemburg, 1308-1355 (Henri VII, Jean et Charles IV);Französisch;cour monarchie composite Luxemburg henri jean charle
2023;L’empire à la fin du Moyen Âge. Idées pour une déconstruction;Französisch;empire fin moyen âge idée déconstruction
2023;La formation de l’image de l’évêque indigne entre dominations locale et globale. Renaud de Bar, évêque de Metz (1302-1316), Clément V, Henri VII, Metz et les comtes de Bar;Französisch;formation image évêque indigne domination local global renaud bar évêque metz clément henri metz comte bar
2023;Luxemburg et Metz. De la construction conjointe des pouvoirs princier et urbain ?;Französisch;Luxemburg metz construction conjoint pouvoir princier urbain
2024;Papstkontakte in lotharingie. Rahmenbedingungen und Herausforderungen für eine künftige lotharingie Pontificia;Deutsch;papstkontakte lotharingie rahmenbedingung herausforderung künftig lotharingie pontificia
2025;1312. Jacques de Longuyon et les Vœux du paon, un best-seller et sa portée politique;Französisch;jacque longuyon vœu paon best seller portée politique
2025;1354. L’empereur Charles IV choisit Metz pour s’imposer en Lorraine;Französisch;empereur charle choisit metz imposer lorraine
2025;“Offene” Erbfälle als Herausforderung und Prozess. Fürstliche Herrschaftsnachfolge und politische Neuordnung im Westen des Reiches;Deutsch;offene erbfall herausforderung prozess fürstlich herrschaftsnachfolge politisch neuordnung westen reich
2025;L’Italia dei primi sovrani lussemburghesi. Riflessioni conclusive dalla prospettiva del progetto LUXDYNAST;Italienisch;italia primo sovrano lussemburghese riflessione conclusivo prospettiva progetto luxdynast
2025;Transferts de pratiques de l’écrit. Quelques jalons autour des pratiques documentaires d’Henri VII, comte de Luxemburg, roi des Romains et empereur (1288/ 1308/ 1312-1313);Französisch;transfert pratique écrit jalon pratique documentaire henri comte Luxemburg roi romain empereur
